sku_id,nombre_producto,categoria_farmaceutica,principio_activo,presentacion,laboratorio,precio_unitario,costo_unitario,requiere_receta,clasificacion_atc,es_controlado,temperatura_controlada,volumen_unidades
SKU10000,Amoxicilina 1000mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Sanofi,37.36,21.46,1,J01,0,0,2
SKU10001,Azitromicina 500mg,Antibióticos Sistémicos,Azitromicina,Caja,Abbott,23.35,15.71,1,J01,0,0,2
SKU10002,Ciprofloxacina 250mg,Antibióticos Sistémicos,Ciprofloxacina,Paquete,Roche,52.38,33.33,1,J01,0,0,5
SKU10003,Claritromicina 500mg,Antibióticos Sistémicos,Claritromicina,Paquete,Pfizer,61.57,39.13,1,J01,0,0,5
SKU10004,Cefalexina 750mg,Antibióticos Sistémicos,Cefalexina,Paquete,Bayer,84.87,48.98,1,J01,0,0,1
SKU10005,Amoxicilina 250mg,Antibióticos Sistémicos,Amoxicilina,Caja,GSK,10.9,6.58,1,J01,0,0,3
SKU10006,Azitromicina 750mg,Antibióticos Sistémicos,Azitromicina,Paquete,AstraZeneca,18.31,12.4,1,J01,0,0,2
SKU10007,Ciprofloxacina 500mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,AstraZeneca,103.41,70.45,1,J01,0,0,50
SKU10008,Claritromicina 750mg,Antibióticos Sistémicos,Claritromicina,Caja,Sanofi,17.33,10.19,1,J01,0,0,2
SKU10009,Cefalexina 1000mg,Antibióticos Sistémicos,Cefalexina,Kit,AstraZeneca,31.12,18.97,1,J01,0,0,20
SKU10010,Amoxicilina 500mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Boehringer,14.52,10.13,1,J01,0,0,20
SKU10011,Azitromicina 1000mg,Antibióticos Sistémicos,Azitromicina,Caja,Boehringer,43.73,24.25,1,J01,0,0,10
SKU10012,Ciprofloxacina 750mg,Antibióticos Sistémicos,Ciprofloxacina,Paquete,Bayer,77.73,53.38,1,J01,0,0,1
SKU10013,Claritromicina 1000mg,Antibióticos Sistémicos,Claritromicina,Unidad,AstraZeneca,50.31,29.24,1,J01,0,0,10
SKU10014,Cefalexina 250mg,Antibióticos Sistémicos,Cefalexina,Unidad,Merck,70.8,44.58,1,J01,0,0,2
SKU10015,Amoxicilina 750mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Pfizer,53.43,33.28,1,J01,0,0,3
SKU10016,Azitromicina 250mg,Antibióticos Sistémicos,Azitromicina,Paquete,Novartis,106.17,67.7,1,J01,0,0,10
SKU10017,Ciprofloxacina 1000mg,Antibióticos Sistémicos,Ciprofloxacina,Unidad,Boehringer,84.43,55.92,1,J01,0,0,10
SKU10018,Claritromicina 250mg,Antibióticos Sistémicos,Claritromicina,Caja,Bayer,104.61,67.43,1,J01,0,0,2
SKU10019,Cefalexina 500mg,Antibióticos Sistémicos,Cefalexina,Paquete,Sanofi,11.74,7.16,1,J01,0,0,2
SKU10020,Amoxicilina 1000mg,Antibióticos Sistémicos,Amoxicilina,Kit,Boehringer,119.76,68.08,1,J01,0,0,10
SKU10021,Azitromicina 500mg,Antibióticos Sistémicos,Azitromicina,Kit,Abbott,70.93,48.28,1,J01,0,0,2
SKU10022,Ciprofloxacina 250mg,Antibióticos Sistémicos,Ciprofloxacina,Paquete,GSK,53.05,34.62,1,J01,0,0,50
SKU10023,Claritromicina 500mg,Antibióticos Sistémicos,Claritromicina,Unidad,GSK,76.29,46.73,1,J01,0,0,5
SKU10024,Cefalexina 750mg,Antibióticos Sistémicos,Cefalexina,Paquete,AstraZeneca,90.6,61.23,1,J01,0,0,2
SKU10025,Amoxicilina 250mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Sanofi,80.7,47.55,1,J01,0,0,100
SKU10026,Azitromicina 750mg,Antibióticos Sistémicos,Azitromicina,Caja,GSK,11.25,7.72,1,J01,0,0,1
SKU10027,Ciprofloxacina 500mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,Bayer,45.59,31.57,1,J01,0,0,2
SKU10028,Claritromicina 750mg,Antibióticos Sistémicos,Claritromicina,Paquete,Boehringer,72.46,47.45,1,J01,0,0,1
SKU10029,Cefalexina 1000mg,Antibióticos Sistémicos,Cefalexina,Caja,Sanofi,92.18,64.08,1,J01,0,0,3
SKU10030,Amoxicilina 500mg,Antibióticos Sistémicos,Amoxicilina,Kit,Pfizer,24.89,14.02,1,J01,0,0,1
SKU10031,Azitromicina 1000mg,Antibióticos Sistémicos,Azitromicina,Caja,Boehringer,25.63,15.37,1,J01,0,0,3
SKU10032,Ciprofloxacina 750mg,Antibióticos Sistémicos,Ciprofloxacina,Caja,Roche,53.06,34.82,1,J01,0,0,2
SKU10033,Claritromicina 1000mg,Antibióticos Sistémicos,Claritromicina,Kit,Sanofi,105.19,63.99,1,J01,0,0,5
SKU10034,Cefalexina 250mg,Antibióticos Sistémicos,Cefalexina,Unidad,Boehringer,11.51,7.51,1,J01,0,0,1
SKU10035,Amoxicilina 750mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Roche,37.76,25.58,1,J01,0,0,20
SKU10036,Azitromicina 250mg,Antibióticos Sistémicos,Azitromicina,Kit,GSK,45.73,31.12,1,J01,0,0,1
SKU10037,Ciprofloxacina 1000mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,Novartis,33.15,20.05,1,J01,0,0,1
